d_muni,d_nombmuni,d_provincia,d_nomsec,d_nomzon,dane_ant,d_nombinst,d_sede,d_nombsede,d_grado,metodo,d_nomjor,sector,edad
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,20
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,22
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,29
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,20
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,21
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,20
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,20
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,22
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,20
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,22
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,21
755,SOCORRO,COMUNERA,PRIVADO,URBANA,368755800021,GIMNASIO MODERNO LATINO,368755800021A,GIMNASIO MODERNO LATINO,26,PROGRAMA PARA JOVENE,MAÑANA,2,19
